MOVIES,year_start,is_series,rating,runtime,runtime_is_missing,votes,votes_log,votes_is_missing,num_stars,director_freq,director_is_known,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_film_noir,genre_game_show,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_reality_tv,genre_romance,genre_sci_fi,genre_short,genre_sport,genre_talk_show,genre_thriller,genre_unknown,genre_war,genre_western
Blood Red Sky,2021,0,6.1,121.0,0,21062.0,9.955273225685358,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Masters of the Universe: Revelation,2021,1,5.0,25.0,0,17870.0,9.790934566296798,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Walking Dead,2010,1,8.2,44.0,0,885805.0,13.694253243986338,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rick and Morty,2013,1,9.2,23.0,0,414849.0,12.935672288092432,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outer Banks,2020,1,7.6,50.0,0,25858.0,10.160413981817907,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Letter from Your Lover,2021,0,6.8,110.0,0,5283.0,8.572438665642215,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dexter,2006,1,8.6,53.0,0,665387.0,13.408125608138791,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Never Have I Ever,2020,1,7.9,30.0,0,34530.0,10.449612750289052,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin River,2019,1,7.4,44.0,0,27279.0,10.213909111957399,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gunpowder Milkshake,2021,0,6.0,114.0,0,17989.0,9.79757132694458,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lucifer,2016,1,8.1,42.0,0,264222.0,12.484548722542439,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fear Street: 1994,2021,0,6.2,107.0,0,50148.0,10.822753853011813,0,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sex/Life,2021,1,5.4,60.0,1,12172.0,9.406975663409597,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
American Horror Story,2011,1,8.0,60.0,0,286488.0,12.56545541998449,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Grey's Anatomy,2005,1,7.5,41.0,0,266258.0,12.492224798251371,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Breaking Bad,2008,1,9.4,49.0,0,1552311.0,14.255255990449127,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Good Doctor,2017,1,8.1,41.0,0,70871.0,11.168630712091868,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atypical,2017,1,8.3,30.0,0,71544.0,11.178081901340835,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stranger Things,2016,1,8.7,51.0,0,885856.0,13.694310817012376,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fear Street: 1978,2021,0,6.8,109.0,0,36634.0,10.508759346594065,0,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Friends,1994,1,8.9,22.0,0,880918.0,13.688720959715322,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Flash,2014,1,7.6,43.0,0,320264.0,12.67690405706959,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peaky Blinders,2013,1,8.8,60.0,0,393414.0,12.882620313340855,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chernobyl,2021,0,5.0,136.0,0,4681.0,8.451480648050856,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vikings,2013,1,8.5,44.0,0,459913.0,13.03879479446499,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Better Call Saul,2015,1,8.8,46.0,0,347857.0,12.759549629506186,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supernatural,2005,1,8.4,44.0,0,404273.0,12.909848144879298,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Blacklist,2013,1,8.0,43.0,0,213522.0,12.271499834185772,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fear Street: 1666,2021,0,6.7,114.0,0,27447.0,10.220048584538286,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Animal Kingdom,2016,1,8.2,60.0,0,26926.0,10.200884779674478,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nine-Nine,2013,1,8.4,22.0,0,248583.0,12.423536095569185,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCIS: Naval Criminal Investigative Service,2003,1,7.7,60.0,0,125619.0,11.741016756008372,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingdom,2019,1,8.4,45.0,0,34906.0,10.460442661144333,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modern Family,2009,1,8.4,22.0,0,378030.0,12.842731481821051,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Titans,2018,1,7.7,45.0,0,73656.0,11.207174461502,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Witcher,2019,1,8.2,60.0,0,336484.0,12.726308850550325,0,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downton Abbey,2010,1,8.7,58.0,0,171804.0,12.054115391717637,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Shingeki no kyojin,2013,1,9.0,24.0,0,242582.0,12.399099198840569,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suits,2011,1,8.4,44.0,0,374263.0,12.83271670973184,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La casa de papel,2017,1,8.3,70.0,0,341858.0,12.742153650331932,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Schitt's Creek,2015,1,8.5,22.0,0,90728.0,11.415632320390161,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outlander,2014,1,8.4,64.0,0,134991.0,11.812970796405407,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Last Kingdom,2015,1,8.4,60.0,0,94650.0,11.457951721822017,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Mirror,2011,1,8.8,60.0,0,469407.0,13.05922760528749,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Ozark,2017,1,8.4,60.0,0,206090.0,12.2360730978028,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Crown,2016,1,8.6,58.0,0,169517.0,12.04071439485465,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Tooth,2021,1,7.9,60.0,1,37142.0,10.522530607088802,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Army of the Dead,2021,0,5.8,148.0,0,132378.0,11.793424299633202,0,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,2014,1,8.9,53.0,0,341221.0,12.740288570832865,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
How I Met Your Mother,2005,1,8.3,22.0,0,624036.0,13.343964940465488,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Community,2009,1,8.5,22.0,0,231013.0,12.350233593728063,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sons of Anarchy,2008,1,8.5,45.0,0,270445.0,12.507827727025656,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
StartUp,2016,1,7.9,44.0,0,22971.0,10.042031361984186,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Vampire Diaries,2009,1,7.7,43.0,0,293434.0,12.589411428646615,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365 dni,2020,0,3.3,114.0,0,63620.0,11.060698883507174,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
How to Sell Drugs Online (Fast),2019,1,7.9,30.0,0,23960.0,10.0841827875855,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Girls,2018,1,7.8,43.0,0,38618.0,10.561499662327744,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 Reasons Why,2017,1,7.6,60.0,0,266386.0,12.492705417658872,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
The Queen's Gambit,2020,0,8.6,160.5,0,336801.0,12.727250499574957,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legends of Tomorrow,2016,1,6.8,42.0,0,95897.0,11.471040405596709,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek: The Next Generation,1987,1,8.6,44.0,0,106181.0,11.572909881899239,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Le dernier mercenaire,2021,0,5.4,110.0,0,2606.0,7.865955413933502,0,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resort to Love,2021,0,5.7,101.0,0,1591.0,7.3727463664043285,0,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Evil,2019,1,7.7,42.0,0,15048.0,9.619066822786719,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Expanse,2015,1,8.5,60.0,0,119644.0,11.692284303913416,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
New Amsterdam,2018,1,8.1,43.0,0,27709.0,10.229548637857024,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Line of Duty,2012,1,8.7,60.0,0,46751.0,10.752612314550426,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The 100,2014,1,7.6,43.0,0,226962.0,12.3325422875836,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
New Girl,2011,1,7.7,22.0,0,200421.0,12.208180422606537,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prison Break,2005,1,8.3,44.0,0,492438.0,13.10712587405524,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sex Education,2019,1,8.3,45.0,0,177274.0,12.085457478172197,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Classic Horror Story,2021,0,5.7,95.0,0,8822.0,9.085117227222105,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Feels Like Ishq,2021,1,6.6,32.0,0,848.0,6.744059186311348,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Young Royals,2021,1,8.6,50.0,0,16954.0,9.73831805455974,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Shadow and Bone,2021,1,7.7,60.0,1,60283.0,11.006822007539567,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hitman's Bodyguard,2017,0,6.9,118.0,0,205979.0,12.235534355679793,0,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mad Men,2007,1,8.6,47.0,0,216203.0,12.2839776854037,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Élite,2018,1,7.5,60.0,0,59730.0,10.997606427591899,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gilmore Girls,2000,1,8.1,44.0,0,106650.0,11.577317100320611,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sky Rojo,2021,1,6.5,31.0,0,6940.0,8.845201135339584,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lupin,2021,1,7.5,45.0,0,84428.0,11.34366622346217,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trollhunters: Rise of the Titans,2021,0,6.9,104.0,0,2353.0,7.763871287820222,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heartland,2007,1,8.4,45.0,0,11764.0,9.372884301161463,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic Park,1993,0,8.1,127.0,0,897444.0,13.707307116129746,0,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Family Guy,1999,1,8.1,22.0,0,312584.0,12.6526317111733,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daredevil,2015,1,8.6,54.0,0,374963.0,12.834585300344253,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark,2017,1,8.8,60.0,0,312629.0,12.652775661654584,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boku no hîrô akademia,2016,1,8.4,24.0,0,44367.0,10.70027376785556,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobra Kai,2018,1,8.6,30.0,0,122268.0,11.713978814483706,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingdom,2019,1,7.1,92.0,0,6388.0,8.762333040602343,0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gotham,2014,1,7.8,42.0,0,216458.0,12.28515643204728,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billions,2016,1,8.4,60.0,0,74094.0,11.213103332624279,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agents of S.H.I.E.L.D.,2013,1,7.5,45.0,0,205119.0,12.231350452714443,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Breathe,2016,0,7.1,88.0,0,237601.0,12.378352283943617,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Ice Road,2021,0,5.6,109.0,0,20561.0,9.931199991102664,0,4,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrow,2012,1,7.5,42.0,0,414712.0,12.935341993705517,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange Is the New Black,2013,1,8.0,59.0,0,284554.0,12.55868183548118,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gossip Girl,2007,1,7.4,42.0,0,159666.0,11.980845675405435,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bridgerton,2020,1,7.3,60.0,0,83944.0,11.337917101470499,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Kominsky Method,2018,1,8.2,30.0,0,33440.0,10.417537971057733,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homeland,2011,1,8.3,55.0,0,322307.0,12.683262889090265,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Riverdale,2017,1,6.8,45.0,0,126112.0,11.74493360942282,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sherlock,2010,1,9.1,88.0,0,839029.0,13.640001741663479,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La cocinera de Castamar,2021,0,7.4,60.0,1,1336.0,7.198183577101943,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen of the South,2016,1,8.0,42.0,0,23318.0,10.05702375789833,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSI: Crime Scene Investigation,2000,1,7.6,60.0,0,78589.0,11.27199974386022,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Umbrella Academy,2019,1,8.0,60.0,0,175513.0,12.075474090786207,0,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supergirl,2015,1,6.2,43.0,0,115373.0,11.655934304378642,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoJack Horseman,2014,1,8.7,25.0,0,124318.0,11.73060612181108,0,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
